id,host_is_superhost,host_acceptance_rate,host_total_listings_count,host_has_profile_pic,accommodates,minimum_nights,maximum_nights,instant_bookable,availability_365,price,number_of_reviews,reviews_per_month,review_scores_rating,survived,bathrooms,host_tenure_days,has_wifi,has_kitchen,has_air_conditioning,has_heating,bedrooms,beds,is_entire_place,is_private_room,is_hotel_room
722334800829948552,0.0,0.99,770.0,1.0,7,2,365,1,350,361.0,14,2.51,4.93,0,2.5,1726.0,1,1,1,1,2.0,4.0,0,0,0
722436908263669360,0.0,1.0,2.0,1.0,2,3,365,0,0,157.0,1,0.2,5.0,0,1.0,2442.0,1,1,1,0,2.0,1.0,1,0,0
722474756682314413,0.0,0.85,2.0,1.0,2,3,31,0,75,34.0,12,2.14,3.5,0,1.0,2679.0,1,1,1,0,1.0,1.0,0,1,0
722476276160984457,1.0,1.0,37.0,1.0,6,2,365,1,44,187.0,9,1.56,5.0,1,2.0,209.0,1,1,1,1,2.0,2.0,1,0,0
722480820377928522,0.0,0.99,1.0,1.0,4,4,4,1,228,638.0,0,0.0,4.93,0,1.5,189.0,1,1,1,0,2.0,2.0,1,0,0
722547789832089391,0.0,1.0,40.0,1.0,8,2,365,1,54,44.0,14,2.71,4.79,0,1.0,2251.0,1,1,1,1,2.0,4.0,0,1,0
722550168983647209,1.0,1.0,1.0,1.0,3,2,28,0,159,163.0,26,4.7,5.0,1,1.0,2547.0,1,1,1,1,1.0,1.0,1,0,0
722573131562551630,0.0,0.99,770.0,1.0,10,2,365,1,363,633.0,5,1.2,3.8,0,4.5,1726.0,1,1,1,1,4.0,6.0,1,0,0
723113228536681659,0.0,0.5,1.0,1.0,2,7,365,0,365,154.0,1,0.18,5.0,1,1.0,188.0,1,1,1,0,1.0,1.0,0,1,0
723182221873238424,1.0,1.0,3.0,1.0,6,2,365,0,357,183.0,15,3.38,5.0,0,1.0,188.0,1,1,1,1,3.0,3.0,1,0,0
723280993684036970,0.0,0.99,1.0,1.0,8,2,21,0,255,487.0,0,0.0,4.93,0,4.5,1945.0,1,1,1,1,4.0,4.0,1,0,0
723332450542029982,0.0,0.9,2.0,1.0,3,3,365,0,224,269.0,4,0.78,5.0,1,2.0,3056.0,1,1,1,1,2.0,2.0,1,0,0
723388335131759420,1.0,0.97,1.0,1.0,8,2,365,1,49,310.0,13,2.45,5.0,0,3.0,3480.0,1,1,1,1,4.0,4.0,1,0,0
723584379347565887,0.0,1.0,3.0,1.0,12,3,60,0,254,408.0,1,0.21,5.0,1,3.0,2486.0,1,1,1,1,4.0,6.0,1,0,0
723600448616326507,0.0,0.89,1.0,1.0,8,1,365,0,250,379.0,3,0.59,4.67,1,2.0,187.0,1,1,1,1,3.0,5.0,1,0,0
723836253324918949,1.0,0.91,9.0,1.0,4,1,59,0,347,96.0,18,3.2,4.78,1,1.0,2850.0,1,1,1,1,1.0,2.0,1,0,0
