id,host_is_superhost,host_response_time,host_response_rate,host_acceptance_rate,host_total_listings_count,host_has_profile_pic,property_type,room_type,accommodates,minimum_nights,maximum_nights,instant_bookable,availability_365,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,neighbourhood_cleansed,survived,bathrooms,host_tenure_days,has_wifi,has_kitchen,has_air_conditioning,has_free_parking,has_heating,has_bed_linens,has_tv
770890376585853595,1.0,within an hour,1.0,0.99,7.0,1.0,Entire rental unit,Entire home/apt,4,1,1125,1,190,82.0,21,6.0,4.76,4.9,4.62,4.76,4.95,4.43,4.71,78723,0,1.0,452.0,1,1,1,1,1,1,1
770983566355264808,0.0,within an hour,0.9,0.95,5.0,1.0,Entire home,Entire home/apt,6,2,365,1,89,271.0,1,1.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,78758,0,2.0,2200.0,1,1,1,1,0,0,1
771027179199349136,0.0,,,1.0,1.0,0.0,Entire rental unit,Entire home/apt,2,4,365,1,0,115.0,2,0.66,5.0,5.0,5.0,5.0,5.0,5.0,5.0,78701,1,1.0,122.0,1,1,0,0,0,0,1
771064798527618593,0.0,within an hour,1.0,0.82,92.0,1.0,Entire home,Entire home/apt,12,2,365,1,302,944.0,1,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,78703,0,2.0,1684.0,1,1,1,1,1,1,1
771079229702980514,0.0,within a few hours,1.0,1.0,1.0,1.0,Entire home,Entire home/apt,6,2,7,0,82,356.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78723,0,2.5,205.0,1,1,1,1,1,1,1
771131203872637878,0.0,within an hour,1.0,0.98,6.0,1.0,Entire rental unit,Entire home/apt,3,2,365,0,134,88.0,15,6.34,4.73,4.6,4.93,4.87,5.0,4.53,4.67,78741,1,1.0,2045.0,1,1,1,1,1,1,1
771184943955111954,0.0,within a few hours,1.0,1.0,5.0,1.0,Private room in home,Private room,2,30,365,1,216,34.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78724,0,2.0,318.0,1,1,1,1,1,0,1
771190370320990187,0.0,a few days or more,0.0,,1.0,1.0,Private room in home,Private room,1,1,10,0,89,79.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78748,0,1.0,122.0,1,0,1,0,1,1,1
771192017782271541,0.0,within a few hours,1.0,1.0,5.0,1.0,Private room in home,Private room,2,30,365,1,221,34.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78724,0,2.0,318.0,1,1,1,1,1,0,1
771194172187690489,0.0,within a few hours,1.0,1.0,5.0,1.0,Private room in home,Private room,2,30,365,1,309,34.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78724,0,2.0,318.0,1,1,1,1,1,0,1
771196039710239083,0.0,within a few hours,1.0,1.0,5.0,1.0,Private room in home,Private room,2,30,365,1,340,34.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78724,0,2.0,318.0,1,1,1,1,1,0,1
771264203043121777,1.0,within an hour,1.0,0.99,14.0,1.0,Entire condo,Entire home/apt,16,1,365,0,299,270.0,3,1.76,5.0,5.0,5.0,5.0,5.0,5.0,4.67,78701,1,5.5,412.0,1,1,1,0,1,1,1
771411479519478661,1.0,within an hour,0.8,0.96,2.0,1.0,Private room in home,Private room,2,1,365,1,342,75.0,13,4.06,4.69,4.69,4.31,4.77,4.92,4.92,4.69,78745,1,1.0,1852.0,1,1,1,1,0,0,0
771646206437093352,0.0,within an hour,1.0,0.75,2.0,1.0,Tiny home,Entire home/apt,2,1,1000,0,187,240.0,1,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,78756,1,1.0,3312.0,1,1,1,1,1,1,1
771670699930195872,0.0,within an hour,0.99,1.0,197.0,1.0,Entire home,Entire home/apt,16,30,1125,1,314,748.0,2,0.78,4.5,4.0,4.0,5.0,5.0,3.5,4.0,78721,0,3.0,1353.0,1,1,1,1,1,1,1
771740315961449615,1.0,within an hour,1.0,0.99,13.0,1.0,Entire home,Entire home/apt,8,1,365,0,11,300.0,6,2.9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,78745,0,2.0,219.0,1,1,1,1,1,1,1
771770848854854401,1.0,within an hour,1.0,0.98,39.0,1.0,Entire home,Entire home/apt,7,2,365,1,129,199.0,1,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,78748,0,2.0,1442.0,1,1,1,1,1,1,1
771892555908725000,1.0,within an hour,1.0,0.96,4.0,1.0,Entire home,Entire home/apt,8,2,90,1,126,173.0,3,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,78745,1,2.0,3364.0,1,1,1,1,1,1,1
771935659094834886,1.0,within an hour,1.0,1.0,9.0,1.0,Private room,Private room,1,30,1125,0,99,35.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78729,1,1.0,1831.0,1,1,1,1,1,1,1
771941201295891641,1.0,within an hour,1.0,0.98,5.0,1.0,Entire home,Entire home/apt,7,2,45,0,251,223.0,2,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,78745,1,2.0,4637.0,1,1,1,1,1,1,1
771949766654262012,1.0,,,0.91,104.0,1.0,Entire condo,Entire home/apt,4,2,60,1,15,278.0,6,2.37,5.0,5.0,5.0,4.83,5.0,5.0,5.0,78701,0,1.0,3973.0,1,1,1,0,1,1,1
771982135312055854,1.0,within an hour,1.0,1.0,9.0,1.0,Private room,Private room,1,30,1125,0,133,37.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78729,1,1.0,1831.0,1,1,1,0,1,1,1
771995856139207003,0.0,within an hour,0.75,1.0,2.0,1.0,Entire rental unit,Entire home/apt,3,4,365,1,149,113.0,1,0.41,5.0,5.0,5.0,5.0,5.0,5.0,5.0,78722,0,1.0,2755.0,1,1,1,0,0,0,1
772000045165695738,1.0,within an hour,1.0,1.0,9.0,1.0,Private room in home,Private room,1,30,365,0,152,44.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78729,1,1.0,1831.0,1,1,1,0,1,1,1
772059827753230449,0.0,within an hour,1.0,1.0,2.0,1.0,Entire rental unit,Entire home/apt,3,1,1125,1,75,122.0,8,6.0,5.0,5.0,4.75,5.0,5.0,5.0,5.0,78741,1,1.0,120.0,1,1,1,1,1,0,1
772198023613185666,0.0,within an hour,1.0,0.56,236.0,1.0,Private room in rental unit,Private room,2,30,365,1,362,47.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78745,0,0.0,451.0,1,0,0,1,0,0,1
772198146810773001,0.0,within an hour,1.0,0.56,236.0,1.0,Private room in rental unit,Private room,2,30,365,1,0,44.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78745,0,0.0,451.0,1,0,0,1,0,0,1
772262216377767164,0.0,within an hour,1.0,0.56,236.0,1.0,Private room in rental unit,Private room,1,30,365,1,294,36.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78745,0,0.0,451.0,0,0,0,0,0,0,1
772266401178377926,0.0,within an hour,1.0,0.56,236.0,1.0,Private room in rental unit,Private room,1,30,365,1,364,43.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78748,0,0.0,451.0,0,0,0,1,0,0,1
